text,intent,language,screen,action_type,source
tap ඉල්ලීම අවලංගු කරන්න,cancel_request,mixed_script,technician_flow,action,mixed_si_alias
dim lights eka eka open karanna,select_dim_lights,si_latin,voltage_technical_issues,select_issue,template
mata safety issues open karanna,open_safety_related_issues,mixed_latin,home,navigation,mixed_en_alias
scheduled power cut eka eka thoranna,select_scheduled_power_cut,si_latin,power_supply_issues,select_issue,template
please open my account,open_account,en,bottom_navigation,navigation,template
මට power supply issues eka විවෘත කරන්න,open_power_supply_issues,mixed_script,home,navigation,mixed_ro_alias
please select transformer issues,select_transformer_issues,en,electricity_board_report,select_board_category,template
machan mata search address one,search_location,noisy_mixed,location,action,noise
navigate to dashboard,go_home,en,bottom_navigation,navigation,template
please select wrong meter reading,select_faulty_meter_reading,en,monitoring_device_issues,select_issue,template
please log out karanna,logout,mixed_latin,account,action,mixed_en_alias
previous page eka tap karanna,go_back,mixed_latin,global,navigation,mixed_en_alias
go back,go_back,en,global,navigation,direct
substation issues,select_substation_issues,en,electricity_board_report,select_board_category,direct
navigate to electricity board report,open_report_to_electricity_board,en,home,navigation,template
safety related issues page ekata yanna,open_safety_related_issues,mixed_latin,home,navigation,mixed_en_alias
mark lights are dim,select_dim_lights,en,voltage_technical_issues,select_issue,template
choose electric shock risk,select_electric_shock_risk,en,safety_related_issues,select_issue,template
mata power supply issues open karanna,open_power_supply_issues,mixed_latin,home,navigation,mixed_en_alias
dashboard select karanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
කරුණාකර cancel karanna,cancel_dialog,mixed_script,dialog,action,mixed_ro_alias
please confirm technician location,confirm_location_technician,en,technician_flow,action,template
choose short circuit,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
press stop searching,cancel_request,en,technician_flow,action,template
complete power outage eka ලෙස සටහන් කරන්න,select_complete_power_outage,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
do set location next,continue_to_location,en,report_flow,action,template
some houses power outage kiyana option eka select karanna,select_partial_power_outage,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
app information page ekata yanna,open_about_us,mixed_latin,account,navigation,mixed_en_alias
press do not submit,cancel_dialog,en,dialog,action,template
mata report area power outage open karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
area power failure issue,select_area_power_failure,en,electricity_board_report,select_board_category,template
partial power outage eka eka open karanna,select_partial_power_outage,si_latin,power_supply_issues,select_issue,template
smart meter issue eka select karanna,select_smart_meter_issue,si_latin,monitoring_device_issues,select_issue,template
please select complete power outage,select_complete_power_outage,en,power_supply_issues,select_issue,template
next ekata yanna button eka press karanna,continue_next,si_latin,report_flow,action,template
photo ekak danna button eka press karanna,add_photo,si_latin,report_flow,action,template
please select damaged wires,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
open fluctuating voltage,select_fluctuating_voltage,en,voltage_technical_issues,select_issue,template
planned power cut problem,select_scheduled_power_cut,en,power_supply_issues,select_issue,template
home eka වෙත යන්න,go_home,mixed_script,bottom_navigation,navigation,mixed_ro_alias
open transformer problem,select_transformer_issues,en,electricity_board_report,select_board_category,template
planned power cut problem ekak thiyenawa,select_scheduled_power_cut,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
navigate to edit profile,open_profile_settings,en,account,navigation,template
ආරක්ෂාව සම්බන්ධ ගැටළු විවෘත කරන්න,open_safety_related_issues,si_script,home,navigation,template
kalin page ekata විවෘත කරන්න,go_back,mixed_script,global,navigation,mixed_ro_alias
I want to report open wires,select_exposed_wiring,en,safety_related_issues,select_issue,template
tap උපාංග සම්බන්ධතා ගැටළුව,select_device_connectivity,mixed_script,monitoring_device_issues,select_issue,mixed_si_alias
යවන්න තෝරන්න,submit_report,si_script,dialog,action,template
power line faults problem ekak thiyenawa,select_power_line_faults,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
circuit breaker tripping report karanna,select_substation_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
take me to view activities,view_activities,en,success_dialog,navigation,template
can you open device issues,open_monitoring_device_issues,en,home,navigation,template
review before submit option eka tap karanna,review_and_confirm_issue,mixed_latin,electricity_board_flow,action,mixed_en_alias
investigation required issue,select_unknown_investigation_required,en,electricity_board_report,select_board_category,template
do not submit,cancel_dialog,en,dialog,action,direct
image ekak upload karanna karanna,add_photo,si_latin,report_flow,action,template
mark meter reading issue,select_faulty_meter_reading,en,monitoring_device_issues,select_issue,template
mata short circuit wela report karanna,select_short_circuit_or_fire,si_latin,electricity_board_report,select_board_category,template
complete power outage eka විකල්පය තෝරන්න,select_complete_power_outage,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
there is maintenance shutdown,select_substation_issues,en,electricity_board_report,select_board_category,template
scheduled outage eka open karanna,select_scheduled_power_cut,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
report power line faults,select_power_line_faults,en,electricity_board_report,select_board_category,template
tap power line issue,select_power_line_faults,en,electricity_board_report,select_board_category,template
mark transformer issues,select_transformer_issues,en,electricity_board_report,select_board_category,template
I want to open go to activities after submit,view_activities,en,success_dialog,navigation,template
complete blackout in area eka thoranna,select_area_power_failure,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
select meter faults and monitoring,open_monitoring_device_issues,en,home,navigation,template
select හදිසි විදුලි බිඳවැටීම,select_sudden_power_loss,mixed_script,power_supply_issues,select_issue,mixed_si_alias
වත්මන් ස්ථානය භාවිතා කරන්න බොත්තම ඔබන්න please,use_current_location,noisy_mixed,location,action,noise
I want to exit account,logout,en,account,action,template
power line issue issue eka,select_power_line_faults,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
meter reading waradi eka thoranna,select_faulty_meter_reading,si_latin,monitoring_device_issues,select_issue,template
create report for scheduled power cut,select_scheduled_power_cut,en,power_supply_issues,select_issue,template
home page eka tap karanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
ස්මාර්ට් මීටර් දෝෂය විකල්පය තෝරන්න,select_smart_meter_issue,si_script,monitoring_device_issues,select_issue,template
please open back,go_back,en,global,navigation,template
open open this report,open_activity_details,en,activities,navigation,template
choose අස්ථාවර වෝල්ටීයතාවය,select_fluctuating_voltage,mixed_script,voltage_technical_issues,select_issue,mixed_si_alias
loose service connection report karanna,select_meter_or_service_line_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
please confirm this location for technician request,confirm_location_technician,en,technician_flow,action,template
select faulty meter reading,select_faulty_meter_reading,en,monitoring_device_issues,select_issue,template
technical getalu page ekata yanna,open_voltage_technical_issues,si_latin,home,navigation,template
over voltage select karanna,select_high_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
safety issues eka page ekata yanna,open_safety_related_issues,si_latin,home,navigation,template
open මීටරයෙන් පුපුරු ගැසීම,select_sparks_from_meter,mixed_script,safety_related_issues,select_issue,mixed_si_alias
කණු සහ රැහැන් ගැටළු පෙන්වන්න,open_infrastructure_issues,si_script,home,navigation,template
I want to report complete blackout in area,select_area_power_failure,en,electricity_board_report,select_board_category,template
udaw saha sahaya පෙන්වන්න,open_help_support,mixed_script,account,navigation,mixed_ro_alias
ane press review report quickly,review_and_confirm_issue,noisy_mixed,electricity_board_flow,action,noise
open wires tiyanawa issue eka,select_exposed_wiring,si_latin,safety_related_issues,select_issue,template
sudden power loss select karanna,select_sudden_power_loss,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
bulbs dimming eka open karanna,select_dim_lights,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
please select transformer burning or overheating,select_transformer_issues,en,electricity_board_report,select_board_category,template
select my account,open_account,en,bottom_navigation,navigation,template
display infrastructure issues,open_infrastructure_issues,en,home,navigation,template
create report for bare wires,select_exposed_wiring,en,safety_related_issues,select_issue,template
smell of burning wire select karanna,select_burning_smell,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
අධි වෝල්ටීයතාවය ලෙස සටහන් කරන්න,select_high_voltage,si_script,voltage_technical_issues,select_issue,template
I want to report electric pole fallen,select_fallen_pole,en,infrastructure_issues,select_issue,template
photo ekak danna option eka tap karanna,add_photo,si_latin,report_flow,action,template
create report for damaged wires,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
hey app I want to පින්තූරයක් එකතු කරන්න,add_photo,noisy_mixed,report_flow,action,noise
report meter burning,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
මට broken meter box eka වාර්තා කරන්න,select_broken_meter_box,mixed_script,infrastructure_issues,select_issue,mixed_ro_alias
area power failure select karanna,select_area_power_failure,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
machan profile edit karanna pennanna කරන්න,open_profile_settings,noisy_mixed,account,navigation,noise
please continue,continue_next,en,report_flow,action,template
use transformer explosion,select_transformer_issues,en,electricity_board_report,select_board_category,template
take me to back,go_back,en,global,navigation,template
සේවා ඉතිහාසය,open_activities,si_script,bottom_navigation,navigation,direct
English walata maru karanna karanna,change_language,si_latin,account,action,template
shock risk eka issue eka,select_electric_shock_risk,si_latin,safety_related_issues,select_issue,template
about us ekata yanna,open_about_us,mixed_latin,account,navigation,mixed_en_alias
my issue is scheduled power cut,select_scheduled_power_cut,en,power_supply_issues,select_issue,template
close dialog,cancel_dialog,en,dialog,action,direct
I have burnt smell,select_burning_smell,en,safety_related_issues,select_issue,template
shock risk eka,select_electric_shock_risk,si_latin,safety_related_issues,select_issue,direct
choose transformer explosion,select_transformer_issues,en,electricity_board_report,select_board_category,template
can you upload photo,add_photo,en,report_flow,action,template
scheduled outage problem,select_scheduled_power_cut,en,power_supply_issues,select_issue,template
select අධි වෝල්ටීයතාවය,select_high_voltage,mixed_script,voltage_technical_issues,select_issue,mixed_si_alias
Sinhala walata maru karanna,change_language,si_latin,account,action,direct
mata image ekak upload karanna one please,add_photo,noisy_mixed,report_flow,action,noise
please select area outage,select_area_power_failure,en,electricity_board_report,select_board_category,template
hey app location page ekata yanna තෝරන්න,continue_to_location,noisy_mixed,report_flow,action,noise
create report for pole damaged,select_pole_issues,en,electricity_board_report,select_board_category,template
powerlink please current location eka use karanna karanna,use_current_location,noisy_mixed,location,action,noise
කරුණාකර වත්මන් ස්ථානය භාවිතා කරන්න,use_current_location,si_script,location,action,template
continue with submit,submit_report,en,dialog,action,template
cancel option eka tap karanna,cancel_dialog,mixed_latin,dialog,action,mixed_en_alias
udaw saha sahaya eka tap karanna,open_help_support,si_latin,account,navigation,template
select open wires,select_exposed_wiring,en,safety_related_issues,select_issue,template
my issue is low power voltage,select_low_voltage,en,voltage_technical_issues,select_issue,template
open weather related damage,select_weather_related_damage,en,electricity_board_report,select_board_category,template
technical getalu පිටුවට යන්න,open_voltage_technical_issues,mixed_script,home,navigation,mixed_ro_alias
tap meter reading issue,select_faulty_meter_reading,en,monitoring_device_issues,select_issue,template
mata transformer problem report karanna,select_transformer_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
electricity board report eka tap karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
sparks from lines problem,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
මට power line faults eka වාර්තා කරන්න,select_power_line_faults,mixed_script,electricity_board_report,select_board_category,mixed_ro_alias
kalin page ekata select karanna,go_back,si_latin,global,navigation,template
tap damaged wires,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
please exit account karanna,logout,mixed_latin,account,action,mixed_en_alias
meter box broken select karanna,select_broken_meter_box,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
adu voltage eka select karanna,select_low_voltage,si_latin,voltage_technical_issues,select_issue,template
කරුණාකර please submit issue to electricity board karanna,confirm_location_and_report_issue,noisy_mixed,electricity_board_flow,action,noise
meter faults and monitoring pennanna,open_monitoring_device_issues,mixed_latin,home,navigation,mixed_en_alias
activities balanna පෙන්වන්න,view_activities,mixed_script,success_dialog,navigation,mixed_ro_alias
low power voltage report karanna,select_low_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
arakshawa sambandha getalu pennanna,open_safety_related_issues,si_latin,home,navigation,template
meter reading issue problem,select_faulty_meter_reading,en,monitoring_device_issues,select_issue,template
voltage wenas wenawa problem ekak thiyenawa,select_fluctuating_voltage,si_latin,voltage_technical_issues,select_issue,template
powerlink move forward karanna please,continue_next,noisy_mixed,report_flow,action,noise
go to පෙර පිටුවට යන්න,go_back,mixed_script,global,navigation,mixed_si_alias
please open support,open_help_support,en,account,navigation,template
please please submit issue to electricity board,confirm_location_and_report_issue,noisy_mixed,electricity_board_flow,action,noise
burning smell eka eka open karanna,select_burning_smell,si_latin,safety_related_issues,select_issue,template
intermittent supply eka තෝරන්න,select_intermittent_supply,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
partial power outage eka eka thoranna,select_partial_power_outage,si_latin,power_supply_issues,select_issue,template
mata close dialog one,cancel_dialog,mixed_latin,dialog,action,mixed_en_alias
short circuit fire eka විකල්පය තෝරන්න,select_short_circuit_or_fire,mixed_script,electricity_board_report,select_board_category,mixed_ro_alias
report smart meter issue,select_smart_meter_issue,en,monitoring_device_issues,select_issue,template
light adu wenawa විකල්පය තෝරන්න,select_dim_lights,mixed_script,voltage_technical_issues,select_issue,mixed_ro_alias
mark electric pole fallen,select_fallen_pole,en,infrastructure_issues,select_issue,template
mage account eka page ekata yanna,open_account,si_latin,bottom_navigation,navigation,template
voltage and technical issues,open_voltage_technical_issues,en,home,navigation,direct
select circuit breaker tripping,select_substation_issues,en,electricity_board_report,select_board_category,template
please dashboard open karanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
loose service connection eka thoranna,select_meter_or_service_line_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
short circuit problem,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
විදුලි සැපයුම් දෝෂ පෙන්වන්න,open_power_supply_issues,si_script,home,navigation,template
can you ස්ථානය තහවුරු කර ගැටළුව වාර්තා කරන්න please app,confirm_location_and_report_issue,noisy_mixed,electricity_board_flow,action,noise
select pole leaning,select_pole_issues,en,electricity_board_report,select_board_category,template
please mul page eka open karanna,go_home,si_latin,bottom_navigation,navigation,template
adu voltage eka report karanna,select_low_voltage,si_latin,voltage_technical_issues,select_issue,template
high voltage eka select karanna,select_high_voltage,si_latin,voltage_technical_issues,select_issue,template
ඊළඟට යන්න තෝරන්න,continue_next,si_script,report_flow,action,template
please review before submit,review_and_confirm_issue,en,electricity_board_flow,action,template
show service history ekata yanna,view_activities,mixed_latin,success_dialog,navigation,mixed_en_alias
create report for low voltage,select_low_voltage,en,voltage_technical_issues,select_issue,template
udaw saha sahaya open karanna,open_help_support,si_latin,account,navigation,template
හෙලෝ ස්ථානය සැකසීමට යන්න තෝරන්න,continue_to_location,noisy_mixed,report_flow,action,noise
partial power outage issue eka,select_partial_power_outage,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
open ස්ථාපිත නොවන සැපයුම,select_intermittent_supply,mixed_script,power_supply_issues,select_issue,mixed_si_alias
please location confirm karala report karanna karanna,confirm_location_and_report_issue,si_latin,electricity_board_flow,action,template
broken power line issue eka,select_power_line_faults,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
use accident hit electric pole,select_external_or_human_causes,en,electricity_board_report,select_board_category,template
my issue is electric shock risk,select_electric_shock_risk,en,safety_related_issues,select_issue,template
image ekak upload karanna තෝරන්න,add_photo,mixed_script,report_flow,action,mixed_ro_alias
please submit issue to electricity board,confirm_location_and_report_issue,en,electricity_board_flow,action,template
විදුලි රැහැන් හානිය වාර්තා කරන්න,select_damaged_power_lines,si_script,infrastructure_issues,select_issue,template
යෙදුම ගැන විවෘත කරන්න,open_about_us,si_script,account,navigation,template
mark short circuit,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
මට damaged power lines eka වාර්තා කරන්න,select_damaged_power_lines,mixed_script,infrastructure_issues,select_issue,mixed_ro_alias
choose device connection issue,select_device_connectivity,en,monitoring_device_issues,select_issue,template
mata do not submit one,cancel_dialog,mixed_latin,dialog,action,mixed_en_alias
there is damaged wires,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
use partial outage,select_partial_power_outage,en,power_supply_issues,select_issue,template
pichchena suwada තෝරන්න,select_burning_smell,mixed_script,safety_related_issues,select_issue,mixed_ro_alias
please ow submit karanna karanna,submit_report,si_latin,dialog,action,template
open high voltage,select_high_voltage,en,voltage_technical_issues,select_issue,template
I have sudden power loss,select_sudden_power_loss,en,power_supply_issues,select_issue,template
move to view activities,view_activities,en,success_dialog,navigation,template
device connectivity eka select karanna,select_device_connectivity,si_latin,monitoring_device_issues,select_issue,template
navigate to go to activities after submit,view_activities,en,success_dialog,navigation,template
අඩු විදුලි බලය තෝරන්න,select_low_voltage,si_script,voltage_technical_issues,select_issue,template
maintenance shutdown eka thoranna,select_substation_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
වෝල්ටීයතා ගැටළු,open_voltage_technical_issues,si_script,home,navigation,direct
mata substation issues eka report karanna,select_substation_issues,si_latin,electricity_board_report,select_board_category,template
back wenna,go_back,si_latin,global,navigation,direct
short circuit fire eka ගැටළුවක් තියෙනවා,select_short_circuit_or_fire,mixed_script,electricity_board_report,select_board_category,mixed_ro_alias
tap ලබාගත හැකි කාර්මිකයන් සොයන්න,confirm_location_technician,mixed_script,technician_flow,action,mixed_si_alias
do confirm this location for technician request කරන්න,confirm_location_technician,noisy_mixed,technician_flow,action,noise
intermittent supply eka problem ekak thiyenawa,select_intermittent_supply,si_latin,power_supply_issues,select_issue,template
tap burnt smell,select_burning_smell,en,safety_related_issues,select_issue,template
open හානි වූ විදුලි රැහැන්,select_damaged_power_lines,mixed_script,infrastructure_issues,select_issue,mixed_si_alias
show me main screen,go_home,en,bottom_navigation,navigation,template
bulbs dimming eka thoranna,select_dim_lights,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
I have voltage is low,select_low_voltage,en,voltage_technical_issues,select_issue,template
device issues pennanna,open_monitoring_device_issues,mixed_latin,home,navigation,mixed_en_alias
select sudden power loss,select_sudden_power_loss,en,power_supply_issues,select_issue,template
fire hazards select karanna,open_safety_related_issues,mixed_latin,home,navigation,mixed_en_alias
ගිණුමෙන් ඉවත් වෙන්න කරන්න,logout,si_script,account,action,template
activities balanna pennanna,view_activities,si_latin,success_dialog,navigation,template
area outage report eka page ekata yanna,open_report_to_electricity_board,si_latin,home,navigation,template
weather damage eka problem ekak thiyenawa,select_weather_related_damage,si_latin,electricity_board_report,select_board_category,template
please open help and support,open_help_support,en,account,navigation,template
navigate to home page,go_home,en,bottom_navigation,navigation,template
please අවලංගු කරන්න,cancel_dialog,mixed_script,dialog,action,mixed_si_alias
substation issues eka eka thoranna,select_substation_issues,si_latin,electricity_board_report,select_board_category,template
high voltage eka thoranna,select_high_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
select show report details,open_activity_details,en,activities,navigation,template
hey app profile settings eka eka tap karanna,open_profile_settings,noisy_mixed,account,navigation,noise
electric pole fallen report karanna,select_fallen_pole,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
select danger of electric shock,select_electric_shock_risk,en,safety_related_issues,select_issue,template
voltage fluctuation issues ekata yanna,open_voltage_technical_issues,mixed_latin,home,navigation,mixed_en_alias
tap lightning damage,select_weather_related_damage,en,electricity_board_report,select_board_category,template
app information ekata yanna,open_about_us,mixed_latin,account,navigation,mixed_en_alias
exposed wiring eka තෝරන්න,select_exposed_wiring,mixed_script,safety_related_issues,select_issue,mixed_ro_alias
my issue is transformer problem,select_transformer_issues,en,electricity_board_report,select_board_category,template
display monitoring and device issues,open_monitoring_device_issues,en,home,navigation,template
activity history pennanna,open_activities,mixed_latin,bottom_navigation,navigation,mixed_en_alias
machan kalin page ekata open karanna,go_back,noisy_mixed,global,navigation,noise
location page ekata yanna කරන්න,continue_to_location,mixed_script,report_flow,action,mixed_ro_alias
ලබාගත හැකි කාර්මිකයන් සොයන්න කරන්න,confirm_location_technician,si_script,technician_flow,action,template
low power voltage problem ekak thiyenawa,select_low_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
කරුණාකර please submit karanna,submit_report,noisy_mixed,dialog,action,noise
broken meter box eka problem ekak thiyenawa,select_broken_meter_box,si_latin,infrastructure_issues,select_issue,template
tap scheduled power cut,select_scheduled_power_cut,en,power_supply_issues,select_issue,template
damaged power lines eka issue eka,select_damaged_power_lines,si_latin,infrastructure_issues,select_issue,template
mata change language one,change_language,mixed_latin,account,action,mixed_en_alias
please open view activities,view_activities,en,success_dialog,navigation,template
mata submit issue to electricity board one,confirm_location_and_report_issue,mixed_latin,electricity_board_flow,action,mixed_en_alias
please voltage technical eka open karanna,open_voltage_technical_issues,si_latin,home,navigation,template
go to dashboard,go_home,en,bottom_navigation,navigation,template
about us eka page ekata yanna,open_about_us,si_latin,account,navigation,template
sign out wenna බොත්තම ඔබන්න,logout,mixed_script,account,action,mixed_ro_alias
power keeps coming and going,select_intermittent_supply,en,power_supply_issues,select_issue,direct
I want to report damaged power lines,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
mata dashboard open karanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
use transformer burning or overheating,select_transformer_issues,en,electricity_board_report,select_board_category,template
technical getalu pennanna,open_voltage_technical_issues,si_latin,home,navigation,template
address eka hoyanna තෝරන්න,search_location,mixed_script,location,action,mixed_ro_alias
there is bulbs dimming,select_dim_lights,en,voltage_technical_issues,select_issue,template
there is loose service connection,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
open sparks from meter,select_sparks_from_meter,en,safety_related_issues,select_issue,template
කරුණාකර please use my current location,use_current_location,noisy_mixed,location,action,noise
damaged meter box select karanna,select_broken_meter_box,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
short circuit wela problem ekak thiyenawa,select_short_circuit_or_fire,si_latin,electricity_board_report,select_board_category,template
transformer explosion report karanna,select_transformer_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
transformer issues kiyana option eka select karanna,select_transformer_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
විදුලි මණ්ඩලයට වාර්තා කරන්න,open_report_to_electricity_board,si_script,home,navigation,direct
please look for electricians,find_available_technicians,en,technician_flow,action,template
press confirm issue report,review_and_confirm_issue,en,electricity_board_flow,action,template
substation failure eka report karanna,select_substation_issues,si_latin,electricity_board_report,select_board_category,template
සමර්පණය කරන්න,submit_report,si_script,dialog,action,direct
electric pole issue issue,select_pole_issues,en,electricity_board_report,select_board_category,template
I want to open need help,open_help_support,en,account,navigation,template
I have meter or service line issues,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
mata no visible reason report karanna,select_unknown_investigation_required,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
scheduled power cut eka ලෙස සටහන් කරන්න,select_scheduled_power_cut,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
customer support select karanna,open_help_support,mixed_latin,account,navigation,mixed_en_alias
tap device connection issue,select_device_connectivity,en,monitoring_device_issues,select_issue,template
mata pole leaning report karanna,select_pole_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
මීටරයෙන් පුපුරු ගැසීම ලෙස සටහන් කරන්න,select_sparks_from_meter,si_script,safety_related_issues,select_issue,template
damaged poles wires and equipment,open_infrastructure_issues,en,home,navigation,direct
press confirm technician location,confirm_location_technician,en,technician_flow,action,template
press open location screen,continue_to_location,en,report_flow,action,template
my issue is smart meter issue,select_smart_meter_issue,en,monitoring_device_issues,select_issue,template
go to service history,open_activities,en,bottom_navigation,navigation,template
continue with find electrician,find_available_technicians,en,technician_flow,action,template
damaged power lines eka eka open karanna,select_damaged_power_lines,si_latin,infrastructure_issues,select_issue,template
my issue is unauthorized connections,select_external_or_human_causes,en,electricity_board_report,select_board_category,template
display meter faults and monitoring,open_monitoring_device_issues,en,home,navigation,template
device connectivity eka issue eka,select_device_connectivity,si_latin,monitoring_device_issues,select_issue,template
transformer burning or overheating issue eka,select_transformer_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
full blackout,select_complete_power_outage,en,power_supply_issues,select_issue,direct
choose full blackout,select_complete_power_outage,en,power_supply_issues,select_issue,template
submit wunata passe activities pennanna,view_activities,si_latin,success_dialog,navigation,template
tap ස්ථානය තහවුරු කර ගැටළුව වාර්තා කරන්න,confirm_location_and_report_issue,mixed_script,electricity_board_flow,action,mixed_si_alias
please open show report details,open_activity_details,en,activities,navigation,template
meter reading waradi ලෙස සටහන් කරන්න,select_faulty_meter_reading,mixed_script,monitoring_device_issues,select_issue,mixed_ro_alias
damaged meter box issue eka,select_broken_meter_box,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
mata power line faults eka report karanna,select_power_line_faults,si_latin,electricity_board_report,select_board_category,template
සෙවීම නවත්වන්න දැන්,cancel_request,noisy_mixed,technician_flow,action,noise
ane please අවලංගු කරන්න කරන්න,cancel_dialog,noisy_mixed,dialog,action,noise
short circuit or fire,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,direct
use substation issues,select_substation_issues,en,electricity_board_report,select_board_category,template
හෙලෝ press look for electricians,find_available_technicians,noisy_mixed,technician_flow,action,noise
powerlink current location eka use karanna option eka tap karanna,use_current_location,noisy_mixed,location,action,noise
report නිරාවරණය වූ වයර්,select_exposed_wiring,mixed_script,safety_related_issues,select_issue,mixed_si_alias
සැලසුම්ගත විදුලි කප්පාදුව විකල්පය තෝරන්න,select_scheduled_power_cut,si_script,power_supply_issues,select_issue,template
select reported issues,open_activities,en,bottom_navigation,navigation,template
report burnt smell,select_burning_smell,en,safety_related_issues,select_issue,template
please open report area power outage,open_report_to_electricity_board,en,home,navigation,template
go to මුල් පිටුව,go_home,mixed_script,bottom_navigation,navigation,mixed_si_alias
press sign out,logout,en,account,action,template
කරුණාකර report eka check karanna please app,review_and_confirm_issue,noisy_mixed,electricity_board_flow,action,noise
cancel technician request button eka press karanna,cancel_request,mixed_latin,technician_flow,action,mixed_en_alias
show me account,open_account,en,bottom_navigation,navigation,template
supply problems pennanna,open_power_supply_issues,mixed_latin,home,navigation,mixed_en_alias
smart meter problem kiyana option eka select karanna,select_smart_meter_issue,mixed_latin,monitoring_device_issues,select_issue,mixed_en_alias
කැඩුණු මීටර් පෙට්ටිය විකල්පය තෝරන්න,select_broken_meter_box,si_script,infrastructure_issues,select_issue,template
show report details select karanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
please ස්ථානය තහවුරු කර ගැටළුව වාර්තා කරන්න,confirm_location_and_report_issue,mixed_script,electricity_board_flow,action,mixed_si_alias
please I want to ඊළඟට යන්න for me,continue_next,noisy_mixed,report_flow,action,noise
use complete blackout in area,select_area_power_failure,en,electricity_board_report,select_board_category,template
fire hazards pennanna,open_safety_related_issues,mixed_latin,home,navigation,mixed_en_alias
go to account page,open_account,en,bottom_navigation,navigation,template
nearby electricians hoyanna,find_available_technicians,si_latin,technician_flow,action,direct
technical issues pennanna,open_voltage_technical_issues,mixed_latin,home,navigation,mixed_en_alias
mage account eka පිටුවට යන්න,open_account,mixed_script,bottom_navigation,navigation,mixed_ro_alias
tap confirm this location for technician request,confirm_location_technician,en,technician_flow,action,template
kanuwa wetila kiyana option eka select karanna,select_fallen_pole,si_latin,infrastructure_issues,select_issue,template
sparks from meter eka open karanna,select_sparks_from_meter,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
continue karanna option eka tap karanna,continue_next,si_latin,report_flow,action,template
account page page ekata yanna,open_account,mixed_latin,bottom_navigation,navigation,mixed_en_alias
please කරුණාකර cancel karanna,cancel_dialog,noisy_mixed,dialog,action,noise
my issue is wrong meter reading,select_faulty_meter_reading,en,monitoring_device_issues,select_issue,template
about us eka වෙත යන්න,open_about_us,mixed_script,account,navigation,mixed_ro_alias
